title,url,date,category,teaser,body,image
"Title: House Oversight Committee subpoenas the Justice Department for Epstein files
","URL: https://www.npr.org/2025/08/05/nx-s1-5493371/house-oversight-committee-epstein-subpoenas-justice-department
","Date from URL: 2025-08-05
","Category: Politics
","Teaser: The Department of Justice building is seen on July 20, 2025 in Washington, D.C. The House Oversight Committee has issued a subpoena to the DOJ for files related to its investigation of Jeffrey Epstein.Eric Lee/Getty Imageshide caption
","Body: PoliticsHouse Oversight Committee subpoenas the Justice Department for Epstein filesThe committee asked the DOJ for files related to its investigation of Jeffrey Epstein. It is also looking to question Bill and Hillary Clinton, among several other former government officials.
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4000x2250+0+209/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fc7%2F55%2F598c5ef24f3eb3ce536ab13f462c%2Fgettyimages-22252652351.jpg

"
"Title: Texas governor seeks to remove Democratic leader from office
","URL: https://www.houstonpublicmedia.org/articles/news/politics/2025/08/05/527957/ag-ken-paxton-will-seek-court-order-to-have-dems-who-have-broken-quorum-thrown-out-of-office/
","Date from URL: 2025-08-05
","Category: No category found
","Teaser: Many seats remain empty during the House meeting's call to order at the state Capitol on Tuesday in Austin, Texas. Texas Democratic lawmakers have fled the state in an attempt to protest and deny quorum for votes on a proposed Republican redistricting plan. Gov. Greg Abbott has threatened to remove lawmakers who do not return.Brandon Bell/Getty Imageshide caption
","Body: Texas governor seeks to remove Democratic leader from officeHouston Public Media News 88.7
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/8256x4642+0+626/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F9c%2F61%2F454af86e45118d08d96b0f59bf3f%2Fgettyimages-2228684225.jpg

"
"Title: Coast Guard says Titan submersible deaths were preventable and faults company's CEO
","URL: https://www.npr.org/2025/08/05/nx-s1-5493502/coast-guard-titan-submersible-oceangate-investigation
","Date from URL: 2025-08-05
","Category: National
","Teaser: A still photo from a video recording shows the OceanGate Titan submersible on the ocean floor following an implosion in 2023. Five people died in the accident.Image provided by the U.S. Coast Guardhide caption
","Body: NationalCoast Guard says Titan submersible deaths were preventable and faults company's CEO
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1760x990+0+0/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fd9%2Fc9%2F7b8f9be84cdab49178afe44fd7cd%2Ftitan-tail-cone.jpeg

"
"Title: Confederate statue toppled during Black Lives Matter protests will be reinstalled
","URL: https://www.npr.org/2025/08/05/nx-s1-5493106/confederate-statue-albert-pike-reinstall
","Date from URL: 2025-08-05
","Category: Culture
","Teaser: Police extinguish the burning statue of Confederate General Albert Pike near Judiciary Square in the District on June 19, 2020.Evelyn Hockstein/For The Washington Post/Getty Imageshide caption
","Body: CultureConfederate statue toppled during Black Lives Matter protests will be reinstalled
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/6000x3375+0+292/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F84%2F60%2F7de550ef46d59a19a36055418234%2Fgettyimages-1225059089.jpg

"
"Title: NFL and ESPN reach nonbinding agreement for sale of NFL Network and other media assets
","URL: https://www.npr.org/2025/08/06/nx-s1-5493561/nfl-and-espn-reach-nonbinding-agreement-for-sale-of-nfl-network-and-other-media-assets
","Date from URL: 2025-08-06
","Category: Media
","Teaser: ESPN Monday Night Football TV camera is seen during the second half of an NFL football game between the Chicago Bears and Minnesota Vikings on Dec. 20, 2021, in Chicago.Kamil Krzaczynski/APhide caption
","Body: MediaNFL and ESPN reach nonbinding agreement for sale of NFL Network and other media assets
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4619x2598+0+240/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fed%2F81%2F6886088f4d39ad3a0052493ca88b%2Fap25213700025197.jpg

"
"Title: CDC to disburse delayed funds for fighting fentanyl and more, staffers say
","URL: https://www.npr.org/sections/shots-health-news/2025/08/05/nx-s1-5493279/cdc-funding-freeze-overdose-omb
","Date from URL: 2025-08-05
","Category: Public Health
","Teaser: The Centers for Disease Control and Prevention headquarters in Atlanta, Georgia.Ben Hendren/Bloomberg/Getty Imageshide caption
","Body: ExclusivePublic HealthCDC to disburse delayed funds for fighting fentanyl and more, staffers say
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1024x576+0+0/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F15%2F02%2F0860307d458e8660ceac6dee4914%2Fgettyimages-2221384472.jpg

"
"Title: 4 European countries agree to buy a combined $1 billion in U.S. weapons for Ukraine
","URL: https://www.npr.org/2025/08/05/g-s1-81084/europe-us-weapons-ukraine-russia-war
","Date from URL: 2025-08-05
","Category: Ukraine invasion — explained
","Teaser: Ukrainians have made a makeshift memorial outside an apartment building in the capital Kyiv that was hit by a Russian airstrike on July 31. A combined missile and drone attack killed more than 30 civilians and wounded more than 150 in the city that day.Roman Pilpey/AFP via Getty Imageshide caption
","Body: Ukraine invasion — explained4 European countries agree to buy a combined $1 billion in U.S. weapons for Ukraine
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/6000x3375+0+313/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fd5%2Fb8%2Ffe3073724cae848044a7dfece0e5%2Fukraine-8-5-gettyimages-2227943914.jpg

"
"Title: Drones delivering coffee? Trump administration wants more companies using UAVs
","URL: https://www.npr.org/2025/08/05/g-s1-81121/drones-uavs-trump-administration-faa-duffy
","Date from URL: 2025-08-05
","Category: National
","Teaser: A drone hovers in airspace outside the safety perimeter surrounding St. Louis Lambert International Airport as an airliner approaches for a landing on March 10, 2025.Jeff Roberson/APhide caption
","Body: NationalDrones delivering coffee? Trump administration wants more companies using UAVs
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/5474x3079+0+285/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F67%2F20%2F2ce1b2194fe68916a90598df259e%2Fap25217533289484.jpg

"
"Title: Do we have a song of the summer this year?
","URL: https://www.npr.org/2025/08/05/g-s1-81101/what-is-the-song-of-the-summer-2025
","Date from URL: 2025-08-05
","Category: Music
","Teaser: Sabrina Carpenter's ""Manchild"" sits at No. 8 onBillboard's Songs of the Summer chart, while Alex Warren's ""Ordinary"" is at No. 1.Photo by Samir Hussein/WireImage; Photo by Barry Brecheisen/Getty Imageshide caption
","Body: MusicDo we have a song of the summer this year?
","Image: https://npr.brightspotcdn.com/dims3/default/strip/false/crop/7500x4219+0+0/resize/300/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F93%2F2f%2Fc8f325a94990bb81a9ea3f3586c5%2Fcomposite-gettyimages-2.jpg

"
"Title: No title found
","URL: https://www.npr.org/2025/08/06/nx-s1-5493561/nfl-and-espn-reach-nonbinding-agreement-for-sale-of-nfl-network-and-other-media-assets
","Date from URL: 2025-08-06
","Category: No category found
","Teaser: No teaser found
","Body: No body found
","Image: No image found

"
"Title: No title found
","URL: https://www.npr.org/2025/08/05/nx-s1-5493550/rfk-jr-funding-mrna-vaccine-development
","Date from URL: 2025-08-05
","Category: No category found
","Teaser: No teaser found
","Body: No body found
","Image: No image found

"
"Title: No title found
","URL: https://www.npr.org/2025/08/05/nx-s1-5493502/coast-guard-titan-submersible-oceangate-investigation
","Date from URL: 2025-08-05
","Category: No category found
","Teaser: No teaser found
","Body: No body found
","Image: No image found

"
"Title: No title found
","URL: https://www.npr.org/2025/08/05/nx-s1-5493371/house-oversight-committee-epstein-subpoenas-justice-department
","Date from URL: 2025-08-05
","Category: No category found
","Teaser: No teaser found
","Body: No body found
","Image: No image found

"
"Title: No title found
","URL: https://www.npr.org/2025/08/05/g-s1-81121/drones-uavs-trump-administration-faa-duffy
","Date from URL: 2025-08-05
","Category: No category found
","Teaser: No teaser found
","Body: No body found
","Image: No image found

"
